name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Demystify,{W},1,W,Christopher Rush,14,Instant,Destroy target enchantment.,"ONS,8ED,9ED,10E,ROE,M12","""Illusion is a crutch for those with no grounding in reality.""\n—Cho-Manno",normal,129524,,,Common,,Instant
Field Marshal,{1}{W}{W},3,W,Stephen Tappin,15,Creature — Human Soldier,Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.),"CSP,10E",He is the only one who sees the patterns in the overlapping maps and conflicting reports.,normal,135258,2,2,Rare,"Human,Soldier",Creature
Ghost Warden,{1}{W},2,W,Ittoku,16,Creature — Spirit,{T}: Target creature gets +1/+1 until end of turn.,"GPT,10E","""I thought of fate as an iron lattice, intricate but rigidly unchangeable. That was until some force bent fate's bars to spare my life.""\n—Ilromov, traveling storyteller",normal,132105,1,1,Common,Spirit,Creature
Glorious Anthem,{1}{W}{W},3,W,Kev Walker,17,Enchantment,Creatures you control get +1/+1.,"USG,pSUS,7ED,8ED,9ED,10E","Once heard, the battle song of an angel becomes part of the listener forever.",normal,129572,,,Rare,,Enchantment
Hail of Arrows,{X}{W},1,W,Anthony S. Waters,18,Instant,Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.,"SOK,10E","""Do not let a single shaft loose until my word. And when I give that word, do not leave a single shaft in Eiganjo.""\n—General Takeno",normal,132107,,,Uncommon,,Instant
Heart of Light,{2}{W},3,W,Luca Zontini,19,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nPrevent all damage that would be dealt to and dealt by enchanted creature.,"BOK,10E","For those who reach enlightenment, violence is an unnecessary distraction.",normal,132090,,,Common,Aura,Enchantment
High Ground,{W},1,W,rk post,20,Enchantment,Each creature you control can block an additional creature each combat.,"EXO,10E","In war, as in society, position is everything.",normal,132145,,,Uncommon,,Enchantment
Holy Day,{W},1,W,Volkan Baga,21,Instant,Prevent all combat damage that would be dealt this turn.,"LEG,INV,8ED,9ED,10E","""Today there is feasting and peace across our land, but the war has not ended. Tuck away your bloodlust. You'll need it tomorrow.""\n—Karrim, Samite healer",normal,129593,,,Common,,Instant
Holy Strength,{W},1,W,Terese Nielsen,22,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+2.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,7ED,8ED,9ED,10E,M10,M11","""May angels fly at your back. May your blade cleave the darkness.""\n—War blessing of Serra",normal,129594,,,Common,Aura,Enchantment
Honor Guard,{W},1,W,Dan Dos Santos,23,Creature — Human Soldier,{W}: Honor Guard gets +0/+1 until end of turn.,"STH,7ED,8ED,9ED,10E",The strength of one. The courage of ten.,normal,129595,1,1,Common,"Human,Soldier",Creature
Icatian Priest,{W},1,W,Stephen Tappin,24,Creature — Human Cleric,{1}{W}{W}: Target creature gets +1/+1 until end of turn.,"FEM,10E,DDC,DD3_DVD","Grelden knelt and felt the cool, dry hand of the priest on his brow. Hours later, when his wits returned, he was covered in his enemies' blood on the field of victory.",normal,132123,1,1,Uncommon,"Human,Cleric",Creature
Kjeldoran Royal Guard,{3}{W}{W},5,W,Carl Critchlow,25,Creature — Human Soldier,{T}: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to Kjeldoran Royal Guard instead.,"ICE,5ED,6ED,7ED,10E","Upon the frozen tundra stand the Kjeldoran Royal Guard, pikes raised, with the king's oath upon their lips.",normal,130551,2,5,Rare,"Human,Soldier",Creature
Loxodon Mystic,{3}{W}{W},5,W,Randy Gallegos,26,Creature — Elephant Cleric,"{W}, {T}: Tap target creature.","DST,10E",Elder mystics take their vow of silence so seriously that they impose it on any who enter their presence.,normal,129638,3,3,Common,"Elephant,Cleric",Creature
Loyal Sentry,{W},1,W,Michael Sutfin,27,Creature — Human Soldier,"When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry.","S99,10E,DDF","""My cause is simple: To stop you, at any cost, from ever seeing the inside of this keep.""",normal,129798,1,1,Rare,"Human,Soldier",Creature
Luminesce,{W},1,W,Daren Bader,28,Instant,Prevent all damage that black sources and red sources would deal this turn.,"CSP,10E","""The White Shield is not the burnished metal you lash to your forearm but the conviction that burns in your chest.""\n—Lucilde Fiksdotter,\nleader of the Order of the White Shield",normal,129912,,,Uncommon,,Instant
Mobilization,{2}{W},3,W,Carl Critchlow,29,Enchantment,Soldier creatures have vigilance.\n{2}{W}: Put a 1/1 white Soldier creature token onto the battlefield.,"ONS,10E,C14","Wars are won with strength, valor, and numbers—especially numbers.",normal,129716,,,Rare,,Enchantment
Nomad Mythmaker,{2}{W},3,W,Darrell Riche,30,Creature — Human Nomad Cleric,"{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control.","JUD,10E","On the wild steppes, history vanishes in the dust. Only the mythmakers remain to say what was, and is, and will be.",normal,130547,2,2,Rare,"Human,Nomad,Cleric",Creature
Pacifism,{1}{W},2,W,Robert Bliss,31,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack or block.,"MIR,TMP,USG,ATH,6ED,BRB,7ED,ONS,8ED,9ED,10E,DDC,M10,M11,M12,M13,M14,DD3_DVD,DTK,TPR,EMA","For the first time in his life, Grakk felt a little warm and fuzzy inside.",normal,129667,,,Common,Aura,Enchantment
Paladin en-Vec,{1}{W}{W},3,W,Dave Kendall,32,Creature — Human Knight,"First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)","EXO,9ED,10E,TPR","""I do not consider myself a hero. I know only what the Vec teach: justice must always be served and corruption must always be opposed.""",normal,129668,2,2,Rare,"Human,Knight",Creature
Pariah,{2}{W},3,W,Jon J Muth,33,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nAll damage that would be dealt to you is dealt to enchanted creature instead.,"USG,7ED,10E","""Why would I consider penance for my actions when I have so many subjects willing to do it for me?""\n—Lord Konda",normal,135248,,,Rare,Aura,Enchantment
Reviving Dose,{2}{W},3,W,D. Alexander Gregory,34,Instant,You gain 3 life.\nDraw a card.,"INV,10E",Samite healers never mix their pungent elixir with sweetener or tea. The threat of a second dose is enough to get most warriors back on their feet.,normal,132089,,,Common,,Instant
Reya Dawnbringer,{6}{W}{W}{W},9,W,Matthew D. Wilson,35,Legendary Creature — Angel,"Flying\nAt the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.","INV,10E,pMGD,DDC,CNS,DD3_DVD","""You have not died until I consent.""",normal,106384,4,6,Rare,Angel,Creature
Righteousness,{W},1,W,Wayne England,36,Instant,Target blocking creature gets +7/+7 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,9ED,10E,M10,DDL",Sometimes the greatest strength is the strength of conviction.,normal,130552,,,Rare,,Instant
Rule of Law,{2}{W},3,W,Scott M. Fischer,37,Enchantment,Each player can't cast more than one spell each turn.,"MRD,10E","Appointed by the kha himself, members of the tribunal ensure all disputes are settled with the utmost fairness.",normal,136291,,,Uncommon,,Enchantment
Samite Healer,{1}{W},2,W,Anson Maddocks,38,Creature — Human Cleric,{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,6ED,S00,7ED,8ED,9ED,10E",Healers ultimately acquire the divine gifts of spiritual and physical wholeness. The most devout are also granted the ability to pass physical wholeness on to others.,normal,132101,1,1,Common,"Human,Cleric",Creature
Serra Angel,{3}{W}{W},5,W,Greg Staples,39,Creature — Angel,Flying (This creature can't be blocked except by creatures with flying or reach.)\nVigilance (Attacking doesn't cause this creature to tap.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,ATH,pWOS,7ED,8ED,9ED,10E,DDC,M10,M11,ME4,CMD,M12,M13,M14,M15,DD3_DVD,ORI,V15,W16,EMA",Her sword sings more beautifully than any choir.,normal,129726,4,4,Rare,Angel,Creature
Serra's Embrace,{2}{W}{W},4,W,Zoltan Boros & Gabor Szikszai,40,Enchantment — Aura,Enchant creature\nEnchanted creature gets +2/+2 and has flying and vigilance.,"USG,7ED,10E,DDC,DD3_DVD",The touch of Serra's angels bears hopes aloft and empowers noble causes.,normal,135214,,,Uncommon,Aura,Enchantment
Skyhunter Patrol,{2}{W}{W},4,W,Matt Cavotta,41,Creature — Cat Knight,"Flying, first strike (This creature can't be blocked except by creatures with flying or reach, and it deals combat damage before creatures without first strike.)","MRD,10E,DDG","""We leonin have come to rule the plains by taking to the skies.""\n—Raksha Golden Cub",normal,129735,2,3,Common,"Cat,Knight",Creature
Skyhunter Prowler,{2}{W},3,W,Vance Kovacs,42,Creature — Cat Knight,"Flying, vigilance (This creature can't be blocked except by creatures with flying or reach, and attacking doesn't cause this creature to tap.)","5DN,9ED,10E","As tireless as her mount, a skyhunter's vigil is measured in days.",normal,132102,1,3,Common,"Cat,Knight",Creature
Skyhunter Skirmisher,{1}{W}{W},3,W,Greg Staples,43,Creature — Cat Knight,"Flying, double strike","5DN,10E,C14,MM2","""Take the deadly grace and strength of the leonin, combined with a pteron mount capable of rending a foe in two and armed with notched steel. That is a skyhunter—and why Taj-Nar has never fallen.""\n—Raksha Golden Cub",normal,129513,1,1,Uncommon,"Cat,Knight",Creature
Soul Warden,{W},1,W,Randy Gallegos,44,Creature — Human Cleric,"Whenever another creature enters the battlefield, you gain 1 life.","EXO,BRB,9ED,10E,M10,HOP,MD1",Count carefully the souls and see that none are lost.\n—Vec teaching,normal,129740,1,1,Uncommon,"Human,Cleric",Creature
Spirit Link,{W},1,W,Kev Walker,45,Enchantment — Aura,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nWhenever enchanted creature deals damage, you gain that much life.","LEG,4ED,5ED,6ED,7ED,8ED,9ED,10E","""We are all inextricably linked, souls woven in tapestry.""",normal,129744,,,Uncommon,Aura,Enchantment
Spirit Weaver,{1}{W},2,W,Matthew D. Wilson,46,Creature — Human Wizard,{2}: Target green or blue creature gets +0/+1 until end of turn.,"INV,10E","""Let my hope be your shield.""",normal,130999,2,1,Uncommon,"Human,Wizard",Creature
Starlight Invoker,{1}{W},2,W,Glen Angus,47,Creature — Human Cleric Mutant,{7}{W}: You gain 5 life.,"LGN,10E","""The constellations form a tapestry of light that traces my people's broken history. Day and night, I feel their glittering presence calling me to weave the pattern whole.""",normal,130385,1,3,Uncommon,"Human,Cleric,Mutant",Creature
Steadfast Guard,{W}{W},2,W,Michael Komarck,48,Creature — Human Rebel,Vigilance (Attacking doesn't cause this creature to tap.),"MMQ,10E","""Best leave your tongue in its yap-hole, Mercadian scum, for your silvered words and golden bribes do not sparkle so brightly outside your city.""",normal,132111,2,2,Common,"Human,Rebel",Creature
Story Circle,{1}{W}{W},3,W,Aleksi Briclot,49,Enchantment,"As Story Circle enters the battlefield, choose a color.\n{W}: The next time a source of your choice of the chosen color would deal damage to you this turn, prevent that damage.","MMQ,8ED,9ED,10E",,normal,129748,,,Rare,,Enchantment
Suntail Hawk,{W},1,W,Heather Hudson,50,Creature — Bird,Flying,"JUD,8ED,9ED,10E,M14","Its eye the glaring sun, its cry the keening wind.",normal,129753,1,1,Common,Bird,Creature
Tempest of Light,{2}{W},3,W,Wayne England,51,Instant,Destroy all enchantments.,"MRD,9ED,10E,M10","""Let everything return to its true nature, so that destiny may takes its course.""",normal,132131,,,Uncommon,,Instant
Treasure Hunter,{2}{W},3,W,Adam Rex,52,Creature — Human,"When Treasure Hunter enters the battlefield, you may return target artifact card from your graveyard to your hand.","EXO,10E","""The treasures of the ancients belong in museums, not in the grubby hands of grave robbers.""",normal,135232,2,2,Uncommon,Human,Creature
True Believer,{W}{W},2,W,Alex Horley-Orlandelli,53,Creature — Human Cleric,You have shroud. (You can't be the target of spells or abilities.),"ONS,10E",So great is his certainty that mere facts cannot shake it.,normal,129610,2,2,Rare,"Human,Cleric",Creature
Tundra Wolves,{W},1,W,Richard Sardinha,54,Creature — Wolf,First strike (This creature deals combat damage before creatures without first strike.),"LEG,4ED,5ED,6ED,8ED,10E","""I heard their eerie howling, the wolves calling their kindred across the frozen plains.""\n—Onean scout",normal,129604,1,1,Common,Wolf,Creature
Venerable Monk,{2}{W},3,W,D. Alexander Gregory,55,Creature — Human Monk Cleric,"When Venerable Monk enters the battlefield, you gain 2 life.","POR,STH,6ED,S99,S00,7ED,8ED,9ED,10E,DDC,DD3_DVD",Age wears the flesh but galvanizes the soul.,normal,129786,2,2,Common,"Human,Monk,Cleric",Creature
Voice of All,{2}{W}{W},4,W,rk post,56,Creature — Angel,"Flying\nAs Voice of All enters the battlefield, choose a color.\nVoice of All has protection from the chosen color.","PLS,10E,CMD",,normal,136290,2,2,Rare,Angel,Creature
Wall of Swords,{3}{W},4,W,Zoltan Boros & Gabor Szikszai,57,Creature — Wall,Defender (This creature can't attack.)\nFlying,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,6ED,7ED,8ED,10E,M14",The air hummed with the scissoring sound of uncounted blades that hovered in front of the invaders as though wielded by a phalanx of unseen hands.,normal,132120,3,5,Uncommon,Wall,Creature
Warrior's Honor,{2}{W},3,W,D. Alexander Gregory,58,Instant,Creatures you control get +1/+1 until end of turn.,"VIS,ATH,6ED,9ED,10E","""The day will come when the righteous warrior faces a battle she cannot win. She will greet that day as she has any other.""\n—Asmira, holy avenger",normal,129797,,,Common,,Instant
Wild Griffin,{2}{W},3,W,Matt Cavotta,59,Creature — Griffin,Flying,"PO2,S99,S00,10E,M11,ME4","""I abandoned my dream of a squadron of griffin-riders when the cost proved too high. Three trainers were eaten for every griffin broken to the bridle.""\n—King Darien of Kjeldor",normal,129557,2,2,Common,Griffin,Creature
Windborn Muse,{3}{W},4,W,Adam Rex,60,Creature — Spirit,Flying\nCreatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.,"LGN,10E,CMD","""Her voice is justice, clear and relentless.""\n—Akroma, angelic avenger",normal,130549,2,3,Rare,Spirit,Creature
Wrath of God,{2}{W}{W},4,W,Kev Walker,61,Sorcery,Destroy all creatures. They can't be regenerated.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,6ED,BRB,7ED,pMPR,8ED,9ED,10E,C13,V14,EMA",,normal,129808,,,Rare,,Sorcery
Youthful Knight,{1}{W},2,W,Rebecca Guay,62,Creature — Human Knight,First strike (This creature deals combat damage before creatures without first strike.),"STH,ATH,10E,TPR",Idealism fits him better than his armor.,normal,129790,2,1,Common,"Human,Knight",Creature
Academy Researchers,{1}{U}{U},3,U,Stephen Daniele,63,Creature — Human Wizard,"When Academy Researchers enters the battlefield, you may put an Aura card from your hand onto the battlefield attached to Academy Researchers.","USG,10E",They brandish their latest theories as warriors would wield weapons.,normal,132072,2,2,Uncommon,"Human,Wizard",Creature
Air Elemental,{3}{U}{U},5,U,Kev Walker,64,Creature — Elemental,Flying,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,PO2,6ED,S99,BRB,BTD,7ED,8ED,9ED,10E,DD2,M10,DPA,ME4,DD3_JVC","""The East Wind, an interloper in the dominions of Westerly Weather, is an impassive-faced tyrant with a sharp poniard held behind his back for a treacherous stab.""\n—Joseph Conrad, The Mirror of the Sea",normal,129459,4,4,Uncommon,Elemental,Creature
Ambassador Laquatus,{1}{U}{U},3,U,Jim Murray,65,Legendary Creature — Merfolk Wizard,{3}: Target player puts the top three cards of his or her library into his or her graveyard.,"TOR,10E","""Life is a game. The only thing that matters is whether you're a pawn or a player.""",normal,129913,1,3,Rare,"Merfolk,Wizard",Creature
Arcanis the Omnipotent,{3}{U}{U}{U},6,U,Justin Sweet,66,Legendary Creature — Wizard,{T}: Draw three cards.\n{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.,"ONS,10E,DDN,EMA","""Do not concern yourself with my origin, my race, or my ancestry. Seek my record in the pits, and then make your wager.""",normal,106426,3,4,Rare,Wizard,Creature
Aura Graft,{1}{U},2,U,Ray Lago,67,Instant,Gain control of target Aura that's attached to a permanent. Attach it to another permanent it can enchant.,"ODY,10E","""It's not really stealing. It's more like extended borrowing.""",normal,130976,,,Uncommon,,Instant
Aven Fisher,{3}{U},4,U,Christopher Moeller,68,Creature — Bird Soldier,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Fisher dies, you may draw a card.","ODY,8ED,9ED,10E",The same spears that catch their food today will defend their homes tomorrow.,normal,130985,2,2,Common,"Bird,Soldier",Creature
Aven Windreader,{3}{U}{U},5,U,Greg Hildebrandt,69,Creature — Bird Soldier Wizard,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{1}{U}: Target player reveals the top card of his or her library.,"ODY,9ED,10E","""The tiniest ripple tells a story ten fathoms deep.""",normal,129473,3,3,Common,"Bird,Soldier,Wizard",Creature
Boomerang,{U}{U},2,U,Arnie Swekel,70,Instant,Return target permanent to its owner's hand.,"LEG,CHR,MIR,5ED,6ED,7ED,8ED,9ED,pGTW,10E,ME3,DPA",Early Jamuraan hunters devised a weapon that would return to its source. Tolarian Æthermancers developed a spell that skipped the weapon entirely.,normal,129494,,,Common,,Instant
Cancel,{1}{U}{U},3,U,Mark Poole,71,Instant,Counter target spell.,"pMPR,TSP,10E,ALA,M10,ZEN,DPA,M11,M12,PC2,RTR,M14,M15,KTK",,normal,129882,,,Common,,Instant
Cephalid Constable,{1}{U}{U},3,U,Alan Pollack,72,Creature — Cephalid Wizard,"Whenever Cephalid Constable deals combat damage to a player, return up to that many target permanents that player controls to their owners' hands.","JUD,10E",Cephalids don't police people. They police loyalties.,normal,135261,1,1,Rare,"Cephalid,Wizard",Creature
Clone,{3}{U},4,U,Kev Walker,73,Creature — Shapeshifter,You may have Clone enter the battlefield as a copy of any creature on the battlefield.,"LEA,LEB,2ED,CED,CEI,3ED,ONS,9ED,10E,M10,M11,DDI,M13,M14",,normal,129501,0,0,Rare,Shapeshifter,Creature
Cloud Elemental,{2}{U},3,U,Michael Sutfin,74,Creature — Elemental,Flying\nCloud Elemental can block only creatures with flying.,"VIS,BTD,10E,M11,MM2",The soratami surround their sky-castles with living clouds that serve as both sword and shield.,normal,129804,2,3,Common,Elemental,Creature
Cloud Sprite,{U},1,U,Mark Zug,75,Creature — Faerie,Flying (This creature can't be blocked except by creatures with flying or reach.)\nCloud Sprite can block only creatures with flying.,"MMQ,10E,DPA","The delicate sprites carry messages for Saprazzans, but they refuse to land in Mercadia City's filthy markets.",normal,132069,1,1,Common,Faerie,Creature
Counsel of the Soratami,{2}{U},3,U,Randy Gallegos,76,Sorcery,Draw two cards.,"CHK,9ED,10E","""Wisdom is not the counting of all the drops in a waterfall. Wisdom is learning why the water seeks the earth.""",normal,134757,,,Common,,Sorcery
Crafty Pathmage,{2}{U},3,U,Wayne England,77,Creature — Human Wizard,{T}: Target creature with power 2 or less can't be blocked this turn.,"ONS,9ED,10E","Follow the pathmage\n—Otarian expression meaning\n""escape quickly""",normal,134758,1,1,Common,"Human,Wizard",Creature
Dehydration,{3}{U},4,U,Arnie Swekel,78,Enchantment — Aura,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature doesn't untap during its controller's untap step.,"MMQ,8ED,9ED,10E",The viashino used the spell to dry foods for crossing the Great Desert. The Suq'Ata later discovered its use in war.,normal,129521,,,Common,Aura,Enchantment
Deluge,{2}{U},3,U,Wayne England,79,Instant,Tap all creatures without flying.,"ODY,10E,DPA","""From the sea came all life, and to the sea it will return. The sooner the better.""\n—Emperor Aboshan",normal,135223,,,Uncommon,,Instant
Denizen of the Deep,{6}{U}{U},8,U,Jim Pavelec,80,Creature — Serpent,"When Denizen of the Deep enters the battlefield, return each other creature you control to its owner's hand.","PO2,S99,10E,DPA","According to merfolk legend, a denizen of the deep swallows the horizon at the end of each day, bringing on the cold blanket of night.",normal,135250,11,11,Rare,Serpent,Creature
Discombobulate,{2}{U}{U},4,U,Alex Horley-Orlandelli,81,Instant,"Counter target spell. Look at the top four cards of your library, then put them back in any order.","ONS,10E","""I said ‘pick his brain,' not ‘tear off his head.'""\n—Riptide Project researcher",normal,134749,,,Uncommon,,Instant
Dreamborn Muse,{2}{U}{U},4,U,Kev Walker,82,Creature — Spirit,"At the beginning of each player's upkeep, that player puts the top X cards of his or her library into his or her graveyard, where X is the number of cards in his or her hand.","LGN,10E,CMD","""Her voice is insight, piercing and true.""\n—Ixidor, reality sculptor",normal,135246,2,2,Rare,Spirit,Creature
Evacuation,{3}{U}{U},5,U,Franz Vohwinkel,83,Instant,Return all creatures to their owners' hands.,"STH,7ED,8ED,9ED,10E,DPA","""Once I supply the breeze, you'll see your warriors for the smoke they truly are.""\n—Alexi, zephyr mage",normal,129541,,,Rare,,Instant
Flashfreeze,{1}{U},2,U,Brian Despain,84,Instant,Counter target red or green spell.,"CSP,10E,M10,M11,M12,MM2","""Nature? Fire? Bah! Both are chaotic and difficult to control. Ice is structured, latticed, light as a feather, massive as a glacier. In ice, there is power!""\n—Heidar, Rimewind master",normal,129908,,,Uncommon,,Instant
Fog Elemental,{2}{U},3,U,Jon J Muth,85,Creature — Elemental,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Fog Elemental attacks or blocks, sacrifice it at end of combat.","WTH,6ED,BTD,10E","""It's the perfect sentry. Those who should pass can go right through it.""\n—Teferi",normal,132073,4,4,Uncommon,Elemental,Creature
Fugitive Wizard,{U},1,U,Mark Zug,86,Creature — Human Wizard,,"LGN,8ED,9ED,10E,M15","""The law has its place—as a footnote in my spellbook.""\n—Siyani, fugitive mage",normal,134762,1,1,Common,"Human,Wizard",Creature
Horseshoe Crab,{2}{U},3,U,Scott Kirschner,87,Creature — Crab,{U}: Untap Horseshoe Crab.,"USG,10E","""Hmm . . . It looks kinda like a bug. Let's crack it open an' see if it tastes like one!""\n—Squee, goblin cabin hand",normal,129596,1,3,Common,Crab,Creature
Hurkyl's Recall,{1}{U},2,U,Ralph Horsley,88,Instant,Return all artifacts target player owns to his or her hand.,"ATQ,3ED,4ED,5ED,10E,MM2","Hurkyl's research at the College of Lat-Nam wasn't enough to stop the two brothers, but for centuries thereafter her spellcraft taught artificers restraint.",normal,135260,,,Rare,,Instant
Lumengrid Warden,{1}{U},2,U,Francis Tsai,89,Creature — Human Wizard,,"MRD,9ED,10E",The wardens keep watch over an endless sea of progress.,normal,129631,1,3,Common,"Human,Wizard",Creature
Mahamoti Djinn,{4}{U}{U},6,U,Greg Staples,90,Creature — Djinn,Flying (This creature can't be blocked except by creatures with flying or reach.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,BTD,7ED,8ED,9ED,10E,DPA,ME4,M15,ORI","Of royal blood among the spirits of the air, the Mahamoti djinn rides on the wings of the winds. As dangerous in the gambling hall as he is in battle, he is a master of trickery and misdirection.",normal,129633,5,6,Rare,Djinn,Creature
March of the Machines,{3}{U},4,U,Ben Thompson,91,Enchantment,Each noncreature artifact is an artifact creature with power and toughness each equal to its converted mana cost. (Equipment that's a creature can't equip a creature.),"MRD,10E,ARC",,normal,106555,,,Rare,,Enchantment
Merfolk Looter,{1}{U},2,U,Tristan Elwell,92,Creature — Merfolk Rogue,"{T}: Draw a card, then discard a card.","EXO,7ED,10E,M10,M12,TPR,EMA",It belongs to the merfolk now.\n—Shipwreck prayer,normal,130900,1,1,Common,"Merfolk,Rogue",Creature
Mind Bend,{U},1,U,Mike Dringenberg,93,Instant,"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another. (For example, you may change ""nonblack creature"" to ""nongreen creature"" or ""forestwalk"" to ""islandwalk."" This effect lasts indefinitely.)","MIR,8ED,9ED,10E","""The world, I've come to realize, is a blank canvas on which to paint.""\n—Ixidor, reality sculptor",normal,129644,,,Rare,,Instant
Peek,{U},1,U,Adam Rex,94,Instant,Look at target player's hand.\nDraw a card.,"ODY,10E",Sometimes you have to read between the minds.,normal,130903,,,Common,,Instant
